Unnamed: 0,Epochs,Validation Accuracy,Setting,Value,Metric
,5,,Classification,0.2666666805744171,Validation Accuracy
,6,,Classification,0.36666667461395264,Validation Accuracy
,7,,Classification,0.4000000059604645,Validation Accuracy
,8,,Classification,0.20000000298023224,Validation Accuracy
,9,,Classification,0.5,Validation Accuracy
,10,,Classification,0.4000000059604645,Validation Accuracy
,11,,Classification,0.36666667461395264,Validation Accuracy
,12,,Classification,0.36666667461395264,Validation Accuracy
,13,,Classification,0.4000000059604645,Validation Accuracy
,14,,Classification,0.4000000059604645,Validation Accuracy
,15,,Classification,0.4000000059604645,Validation Accuracy
,1,,Classification,0.3333333432674408,Validation Off-By-One Accuracy
,2,,Classification,0.6000000238418579,Validation Off-By-One Accuracy
,3,,Classification,0.5833333134651184,Validation Off-By-One Accuracy
,4,,Classification,0.6333333253860474,Validation Off-By-One Accuracy
,5,,Classification,0.6333333253860474,Validation Off-By-One Accuracy
,6,,Classification,0.75,Validation Off-By-One Accuracy
,7,,Classification,0.75,Validation Off-By-One Accuracy
,8,,Classification,0.4000000059604645,Validation Off-By-One Accuracy
,9,,Classification,0.8333333134651184,Validation Off-By-One Accuracy
,10,,Classification,0.800000011920929,Validation Off-By-One Accuracy
,11,,Classification,0.7333333492279053,Validation Off-By-One Accuracy
,12,,Classification,0.7333333492279053,Validation Off-By-One Accuracy
,13,,Classification,0.7333333492279053,Validation Off-By-One Accuracy
,14,,Classification,0.7333333492279053,Validation Off-By-One Accuracy
,15,,Classification,0.7333333492279053,Validation Off-By-One Accuracy
