,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
254,15,0.30000001192092896,5 Recombinations,0.7333333492279053
255,16,0.3333333432674408,5 Recombinations,0.6666666865348816
256,17,0.36666667461395264,5 Recombinations,0.699999988079071
257,18,0.36666667461395264,5 Recombinations,0.75
258,19,0.3333333432674408,5 Recombinations,0.6166666746139526
259,20,0.4000000059604645,5 Recombinations,0.6833333373069763
260,21,0.2666666805744171,5 Recombinations,0.5833333134651184
261,22,0.30000001192092896,5 Recombinations,0.6499999761581421
262,23,0.36666667461395264,5 Recombinations,0.75
263,24,0.3333333432674408,5 Recombinations,0.6833333373069763
264,25,0.36666667461395264,5 Recombinations,0.699999988079071
265,26,0.36666667461395264,5 Recombinations,0.6499999761581421
266,27,0.3333333432674408,5 Recombinations,0.7166666388511658
267,28,0.4000000059604645,5 Recombinations,0.800000011920929
268,29,0.30000001192092896,5 Recombinations,0.6833333373069763
269,30,0.23333333432674408,5 Recombinations,0.5833333134651184
270,1,0.2666666805744171,5 Recombinations,0.6000000238418579
271,2,0.4333333373069763,5 Recombinations,0.8666666746139526
272,3,0.46666666865348816,5 Recombinations,0.8166666626930237
273,4,0.4000000059604645,5 Recombinations,0.7333333492279053
274,5,0.46666666865348816,5 Recombinations,0.8999999761581421
275,6,0.4333333373069763,5 Recombinations,0.8666666746139526
276,7,0.3333333432674408,5 Recombinations,0.7333333492279053
277,8,0.5,5 Recombinations,0.8666666746139526
278,9,0.5,5 Recombinations,0.8833333253860474
279,10,0.5,5 Recombinations,0.949999988079071
280,11,0.4333333373069763,5 Recombinations,0.9333333373069763
281,12,0.4000000059604645,5 Recombinations,0.7333333492279053
282,13,0.5333333611488342,5 Recombinations,0.9666666388511658
283,14,0.30000001192092896,5 Recombinations,0.5333333611488342
284,15,0.30000001192092896,5 Recombinations,0.6833333373069763
285,16,0.5,5 Recombinations,0.8333333134651184
286,17,0.36666667461395264,5 Recombinations,0.8166666626930237
287,18,0.5,5 Recombinations,0.8333333134651184
288,19,0.36666667461395264,5 Recombinations,0.8333333134651184
289,20,0.4333333373069763,5 Recombinations,0.7833333611488342
290,21,0.3333333432674408,5 Recombinations,0.699999988079071
291,22,0.46666666865348816,5 Recombinations,0.8333333134651184
292,23,0.4000000059604645,5 Recombinations,0.800000011920929
293,24,0.46666666865348816,5 Recombinations,0.8666666746139526
294,25,0.46666666865348816,5 Recombinations,0.8833333253860474
295,26,0.46666666865348816,5 Recombinations,0.8999999761581421
296,27,0.5,5 Recombinations,0.9166666865348816
297,28,0.5666666626930237,5 Recombinations,0.9666666388511658
298,29,0.4333333373069763,5 Recombinations,0.8833333253860474
299,30,0.4333333373069763,5 Recombinations,0.8833333253860474
300,1,0.4333333373069763,10 Recombinations,0.7333333492279053
301,2,0.3333333432674408,10 Recombinations,0.6333333253860474
302,3,0.5,10 Recombinations,0.8333333134651184
303,4,0.36666667461395264,10 Recombinations,0.7833333611488342
304,5,0.4333333373069763,10 Recombinations,0.8666666746139526
305,6,0.4333333373069763,10 Recombinations,0.7666666507720947
306,7,0.4000000059604645,10 Recombinations,0.7666666507720947
307,8,0.5,10 Recombinations,0.8333333134651184
308,9,0.4000000059604645,10 Recombinations,0.800000011920929
309,10,0.36666667461395264,10 Recombinations,0.6666666865348816
310,11,0.36666667461395264,10 Recombinations,0.7666666507720947
311,12,0.36666667461395264,10 Recombinations,0.7333333492279053
312,13,0.4000000059604645,10 Recombinations,0.7166666388511658
313,14,0.46666666865348816,10 Recombinations,0.800000011920929
314,15,0.3333333432674408,10 Recombinations,0.7333333492279053
315,16,0.46666666865348816,10 Recombinations,0.8500000238418579
316,17,0.4333333373069763,10 Recombinations,0.7666666507720947
317,18,0.4000000059604645,10 Recombinations,0.7166666388511658
318,19,0.36666667461395264,10 Recombinations,0.6833333373069763
319,20,0.4333333373069763,10 Recombinations,0.800000011920929
320,21,0.4333333373069763,10 Recombinations,0.75
321,22,0.4333333373069763,10 Recombinations,0.6666666865348816
322,23,0.46666666865348816,10 Recombinations,0.7833333611488342
323,24,0.3333333432674408,10 Recombinations,0.6833333373069763
